,teamName,teamId
0,AC Milan,8564
1,Albania,10024
2,Almeria,9865
3,Angers,8121
4,Argentina,6706
5,Arsenal,9825
6,Aston Villa,10252
7,Atalanta,8524
8,Athletic Club,8315
9,Athletico Paranaense,10273
10,Atletico,9906
11,Atletico GO,165545
12,Atletico MG,10272
13,Augsburg,8406
14,Austria,8255
15,Auxerre,8583
16,Bahia,7877
17,Barcelona,8634
18,Bayern,9823
19,Belgium,8263
20,Benfica,9772
21,Bochum,9911
22,Bologna,9857
23,Borussia Dortmund,9789
24,Borussia M.Gladbach,9788
25,Botafogo RJ,8517
26,Bournemouth,8678
27,Brazil,8256
28,Brentford,9937
29,Brest,8521
30,Brighton,10204
31,Burnley,8191
32,Cadiz,8385
33,Cagliari,8529
34,Celta Vigo,9910
35,Celtic,9925
36,Chelsea,8455
37,Club Brugge,8342
38,Colombia,8258
39,Como,10171
40,Corinthians,9808
41,Costa Rica,6705
42,Criciuma,7729
43,Croatia,10155
44,Cruzeiro,9781
45,Crystal Palace,9826
46,Cuiaba,197815
47,Czechia,8496
48,Darmstadt,8262
49,Denmark,8238
50,Deportivo Alaves,9866
51,Dinamo Zagreb,10156
52,Eintracht Frankfurt,9810
53,Empoli,8534
54,England,8491
55,Espanyol,8558
56,Everton,8668
57,FC Heidenheim,94937
58,FC Koln,8722
59,Feyenoord,10235
60,Fiorentina,8535
61,FK Crvena Zvezda,8687
62,Flamengo,9770
63,Fluminense,9863
64,Fortaleza,8287
65,France,6723
66,Freiburg,8358
67,Fulham,9879
68,Genoa,10233
69,Georgia,8268
70,Germany,8570
71,Getafe,8305
72,Girona,7732
73,Granada,7878
74,Greece,6383
75,Gremio,9769
76,Hoffenheim,8226
77,Hungary,8565
78,Inter,8636
79,Internacional,8702
80,Ipswich,9902
81,Italy,8204
82,Juventude,10274
83,Juventus,9885
84,Las Palmas,8306
85,Lazio,8543
86,Le Harve,9746
87,Lecce,9888
88,Leganes,7854
89,Leicester,8197
90,Lens,8588
91,Leverkusen,8178
92,Lille,8639
93,Liverpool,8650
94,Luton,8346
95,Lyon,9748
96,Mainz,9905
97,Mallorca,8661
98,Man City,8456
99,Man Utd,10260
100,Marseille,8592
101,Monaco,9829
102,Montpellier,10249
103,Monza,6504
104,Nantes,9830
105,Napoli,9875
106,Netherlands,6708
107,Newcastle,10261
108,Nice,9831
109,Nottingham Forest,10203
110,Osasuna,8371
111,Palmeiras,10283
112,Panama,5922
113,Paraguay,6724
114,Parma Calcio 1913,10167
115,Poland,8568
116,Portugal,8361
117,PSG,9847
118,PSV Eindhoven,8640
119,Rayo Vallecano,8370
120,RBL,178475
121,Real Betis,8603
122,Real Madrid,8633
123,Real Sociedad,8560
124,Real Valladolid,10281
125,Red Bull Bragantino,109705
126,Reims,9837
127,Rennes,9851
128,Roma,8686
129,Romania,9730
130,Saint-Etienne,9853
131,Salzburg,10013
132,Sao Paulo,10277
133,Scotland,8498
134,Serbia,8205
135,Sevilla,8302
136,Shakhtar,9728
137,Sheff Utd,8657
138,Slovakia,8497
139,Slovan Bratislava,6019
140,Slovenia,5787
141,Southampton,8466
142,Spain,6720
143,Sparta Prague,10247
144,Sporting,9768
145,Strasbourg,9848
146,Sturm Graz,10014
147,Stuttgart,10269
148,Switzerland,6717
149,Torino,9804
150,Tottenham,8586
151,Toulouse,9941
152,Turkiye,6595
153,Udinese,8600
154,Ukraine,6718
155,Union Berlin,8149
156,Uruguay,5796
157,Valencia,10267
158,Vasco da Gama,10276
159,Venezia,7881
160,Verona,9876
161,Villarreal,10205
162,Vitoria,7733
163,Werder Bremen,8697
164,West Ham,8654
165,Wolfsburg,8721
166,Wolves,8602
167,Young Boys,10192
